No,year,month,day,hour,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
21814.0,2015,8,26,21,14.0,42.0,2.0,72.0,900.0,43.0,24.5,1005.0,17.7,0.0,ENE,1.2,Aotizhongxin
21815.0,2015,8,26,22,17.0,40.0,2.0,55.0,700.0,50.0,23.8,1005.1,18.0,0.0,E,0.7,Aotizhongxin
21816.0,2015,8,26,23,12.0,29.0,2.0,55.0,700.0,46.0,23.6,1005.4,17.6,0.0,NE,1.0,Aotizhongxin
21817.0,2015,8,27,0,15.0,30.0,2.0,56.0,700.0,37.0,22.8,1005.4,17.9,0.0,N,1.1,Aotizhongxin
21818.0,2015,8,27,1,16.0,30.0,2.0,63.0,700.0,24.0,22.8,1005.3,17.7,0.0,NE,1.3,Aotizhongxin
21819.0,2015,8,27,2,15.0,27.0,2.0,43.0,600.0,32.0,23.0,1005.5,17.5,0.0,NE,1.3,Aotizhongxin
21820.0,2015,8,27,3,14.0,20.0,2.0,33.0,400.0,38.0,22.3,1005.6,17.7,0.0,NE,0.8,Aotizhongxin
21821.0,2015,8,27,4,10.0,17.0,2.0,34.0,500.0,39.0,21.3,1005.7,17.9,0.0,SE,0.6,Aotizhongxin
21822.0,2015,8,27,5,13.0,13.0,2.0,27.0,400.0,40.0,21.4,1005.7,16.4,0.0,NNE,0.7,Aotizhongxin
21823.0,2015,8,27,6,9.0,18.0,2.0,32.0,400.0,34.0,21.9,1006.2,16.6,0.0,NNE,1.2,Aotizhongxin
21824.0,2015,8,27,7,8.0,13.0,2.0,37.0,900.0,32.0,22.9,1006.6,16.4,0.0,NNE,1.6,Aotizhongxin
21825.0,2015,8,27,8,9.0,16.0,2.0,31.0,1000.0,42.0,24.6,1006.9,16.8,0.0,NNE,2.1,Aotizhongxin
21826.0,2015,8,27,9,8.0,19.0,2.0,30.0,600.0,52.0,26.3,1007.0,16.2,0.0,NNE,1.7,Aotizhongxin
21827.0,2015,8,27,10,5.0,15.0,2.0,24.0,500.0,70.0,27.6,1006.9,15.9,0.0,ENE,2.2,Aotizhongxin
21828.0,2015,8,27,11,6.0,14.0,2.0,17.0,500.0,95.0,28.4,1006.3,15.3,0.0,SE,1.8,Aotizhongxin
21829.0,2015,8,27,12,8.0,8.0,2.0,13.0,400.0,115.0,29.7,1005.6,14.3,0.0,WNW,1.2,Aotizhongxin
21830.0,2015,8,27,13,8.0,8.0,2.0,12.0,400.0,121.0,30.5,1004.9,13.3,0.0,NE,1.1,Aotizhongxin
21831.0,2015,8,27,14,7.0,7.0,2.0,12.0,300.0,131.0,31.1,1004.3,13.8,0.0,E,2.3,Aotizhongxin
21832.0,2015,8,27,15,9.0,10.0,2.0,13.0,300.0,131.0,30.5,1003.5,12.9,0.0,ENE,1.5,Aotizhongxin
21833.0,2015,8,27,16,9.0,41.0,2.0,26.0,400.0,99.0,30.5,1003.3,16.1,0.0,NNE,1.6,Aotizhongxin
21834.0,2015,8,27,17,11.0,23.0,2.0,31.0,400.0,93.0,30.4,1003.0,14.9,0.0,NW,1.1,Aotizhongxin
21835.0,2015,8,27,18,11.0,25.0,2.0,35.0,600.0,103.0,28.9,1003.1,15.8,0.0,WNW,1.7,Aotizhongxin
21836.0,2015,8,27,19,14.0,30.0,2.0,47.0,600.0,108.0,26.8,1003.9,17.6,0.0,SE,1.0,Aotizhongxin
21837.0,2015,8,27,20,14.0,23.0,2.0,42.0,500.0,116.0,26.9,1004.3,16.2,0.0,WSW,1.1,Aotizhongxin
21838.0,2015,8,27,21,18.0,37.0,2.0,56.0,600.0,91.0,25.2,1004.7,17.1,0.0,SW,0.9,Aotizhongxin
21839.0,2015,8,27,22,17.0,33.0,2.0,58.0,600.0,74.0,25.3,1004.6,17.0,0.0,W,1.1,Aotizhongxin
21840.0,2015,8,27,23,23.0,63.0,2.0,83.0,800.0,35.0,24.4,1005.1,17.9,0.0,NE,0.9,Aotizhongxin
21841.0,2015,8,28,0,26.0,60.0,2.0,83.0,800.0,18.0,22.5,1005.0,18.5,0.0,E,1.4,Aotizhongxin
21842.0,2015,8,28,1,29.0,52.0,2.0,65.0,800.0,22.0,22.8,1004.8,18.3,0.0,ESE,1.2,Aotizhongxin
21843.0,2015,8,28,2,25.0,36.0,2.0,57.0,600.0,23.0,22.5,1004.5,18.7,0.0,NE,1.2,Aotizhongxin
21844.0,2015,8,28,3,23.0,37.0,2.0,51.0,600.0,21.0,22.3,1004.4,17.7,0.0,N,1.3,Aotizhongxin
21845.0,2015,8,28,4,16.0,20.0,2.0,42.0,500.0,25.0,20.8,1004.2,17.6,0.0,SSW,0.4,Aotizhongxin
21846.0,2015,8,28,5,13.0,13.0,2.0,28.0,400.0,42.0,20.7,1004.3,16.7,0.0,NE,0.7,Aotizhongxin
21847.0,2015,8,28,6,9.0,11.0,2.0,23.0,500.0,45.0,20.6,1004.6,16.2,0.0,NE,0.8,Aotizhongxin
21848.0,2015,8,28,7,12.0,20.0,2.0,40.0,800.0,26.0,22.4,1004.7,16.7,0.0,ENE,1.6,Aotizhongxin
21849.0,2015,8,28,8,11.0,21.0,2.0,46.0,1000.0,28.0,24.3,1004.9,16.3,0.0,NNE,1.6,Aotizhongxin
21850.0,2015,8,28,9,10.0,17.0,2.0,33.0,900.0,48.0,25.8,1005.0,15.8,0.0,NE,1.9,Aotizhongxin
21851.0,2015,8,28,10,14.0,22.0,2.0,19.0,500.0,74.0,27.4,1004.8,16.7,0.0,N,1.3,Aotizhongxin
21852.0,2015,8,28,11,12.0,22.0,6.0,16.0,500.0,94.0,28.9,1004.2,17.4,0.0,NW,1.3,Aotizhongxin
21853.0,2015,8,28,12,12.0,17.0,2.0,14.0,500.0,112.0,30.1,1003.4,15.8,0.0,ENE,1.9,Aotizhongxin
21854.0,2015,8,28,13,11.0,11.0,2.0,14.0,400.0,128.0,31.5,1002.6,16.3,0.0,SSE,1.5,Aotizhongxin
21855.0,2015,8,28,14,10.0,10.0,2.0,12.0,300.0,131.0,32.2,1001.7,13.4,0.0,NW,2.3,Aotizhongxin
21856.0,2015,8,28,15,7.0,7.0,2.0,12.0,300.0,125.0,32.8,1001.2,12.4,0.0,N,2.3,Aotizhongxin
21857.0,2015,8,28,16,9.0,9.0,2.0,15.0,300.0,136.0,33.3,1000.6,11.8,0.0,ENE,1.1,Aotizhongxin
21858.0,2015,8,28,17,8.0,10.0,2.0,18.0,400.0,132.0,32.5,1000.7,11.6,0.0,NE,1.6,Aotizhongxin
21859.0,2015,8,28,18,9.0,28.0,2.0,26.0,600.0,130.0,31.2,1000.9,12.5,0.0,E,1.8,Aotizhongxin
21860.0,2015,8,28,19,17.0,49.0,2.0,43.0,700.0,104.0,28.8,1001.2,16.4,0.0,ESE,3.2,Aotizhongxin
21861.0,2015,8,28,20,23.0,117.0,2.0,44.0,600.0,103.0,26.1,1002.8,15.8,0.0,SW,3.7,Aotizhongxin
21862.0,2015,8,28,21,26.0,92.0,2.0,30.0,500.0,124.0,24.6,1003.7,15.0,0.0,SW,2.9,Aotizhongxin
21863.0,2015,8,28,22,17.0,31.0,2.0,27.0,500.0,115.0,24.5,1004.0,14.3,0.0,SSE,1.2,Aotizhongxin
21864.0,2015,8,28,23,18.0,53.0,2.0,31.0,500.0,100.0,23.1,1003.9,15.2,0.0,ESE,1.6,Aotizhongxin
21865.0,2015,8,29,0,25.0,61.0,2.0,46.0,600.0,80.0,22.5,1005.0,15.3,0.0,E,2.6,Aotizhongxin
21866.0,2015,8,29,1,26.0,61.0,2.0,34.0,800.0,82.0,22.4,1005.3,16.2,0.0,E,1.5,Aotizhongxin
21867.0,2015,8,29,2,26.0,55.0,2.0,30.0,700.0,81.0,23.4,1005.3,13.8,0.0,ENE,2.6,Aotizhongxin
21868.0,2015,8,29,3,22.0,30.0,2.0,30.0,500.0,79.0,22.6,1004.7,13.6,0.0,NW,0.7,Aotizhongxin
21869.0,2015,8,29,4,16.0,27.0,2.0,31.0,500.0,78.0,22.5,1004.3,14.3,0.0,NW,1.9,Aotizhongxin
21870.0,2015,8,29,5,27.0,50.0,2.0,36.0,600.0,66.0,22.2,1004.5,15.5,0.0,NW,1.8,Aotizhongxin
21871.0,2015,8,29,6,29.0,46.0,2.0,36.0,600.0,61.0,19.9,1005.2,15.9,0.0,SE,0.7,Aotizhongxin
21872.0,2015,8,29,7,27.0,52.0,2.0,44.0,800.0,55.0,21.6,1005.5,16.8,0.0,ESE,1.2,Aotizhongxin
21873.0,2015,8,29,8,27.0,49.0,2.0,43.0,800.0,61.0,23.9,1005.6,16.4,0.0,ENE,1.2,Aotizhongxin
21874.0,2015,8,29,9,19.0,38.0,2.0,36.0,800.0,80.0,25.1,1005.9,16.5,0.0,ENE,1.8,Aotizhongxin
21875.0,2015,8,29,10,15.0,30.0,2.0,22.0,500.0,108.0,26.4,1005.8,16.3,0.0,ENE,2.4,Aotizhongxin
21876.0,2015,8,29,11,17.0,32.0,2.0,20.0,600.0,129.0,27.9,1005.5,14.9,0.0,E,1.9,Aotizhongxin
21877.0,2015,8,29,12,20.0,29.0,2.0,30.0,500.0,140.0,29.0,1005.1,15.2,0.0,SSW,1.6,Aotizhongxin
21878.0,2015,8,29,13,27.0,45.0,2.0,27.0,600.0,180.0,29.4,1004.6,15.5,0.0,SW,2.1,Aotizhongxin
21879.0,2015,8,29,14,33.0,51.0,2.0,25.0,600.0,223.0,30.2,1003.9,15.5,0.0,SSW,2.0,Aotizhongxin
21880.0,2015,8,29,15,40.0,68.0,2.0,23.0,700.0,239.0,29.8,1003.1,16.2,0.0,S,3.2,Aotizhongxin
21881.0,2015,8,29,16,41.0,74.0,2.0,22.0,700.0,218.0,29.3,1003.6,16.8,0.0,SW,3.1,Aotizhongxin
21882.0,2015,8,29,17,36.0,61.0,2.0,19.0,700.0,196.0,29.0,1003.1,16.2,0.0,SSW,2.8,Aotizhongxin
21883.0,2015,8,29,18,41.0,66.0,2.0,19.0,700.0,186.0,28.4,1002.7,15.0,0.0,S,3.0,Aotizhongxin
21884.0,2015,8,29,19,42.0,75.0,2.0,25.0,700.0,168.0,27.7,1003.5,14.7,0.0,SSW,2.2,Aotizhongxin
21885.0,2015,8,29,20,41.0,66.0,2.0,22.0,700.0,162.0,27.5,1004.6,14.8,0.0,S,2.0,Aotizhongxin
21886.0,2015,8,29,21,29.0,40.0,2.0,23.0,700.0,164.0,26.8,1005.5,15.8,0.0,ESE,2.0,Aotizhongxin
21887.0,2015,8,29,22,32.0,60.0,2.0,36.0,900.0,142.0,25.0,1005.7,17.7,0.0,SE,2.6,Aotizhongxin
21888.0,2015,8,29,23,43.0,89.0,3.0,41.0,1100.0,108.0,24.1,1006.2,18.3,0.0,ESE,1.7,Aotizhongxin
21889.0,2015,8,30,0,48.0,86.0,2.0,42.0,1200.0,93.0,23.6,1006.3,18.7,0.0,ESE,1.7,Aotizhongxin
21890.0,2015,8,30,1,35.0,58.0,2.0,27.0,1100.0,69.0,22.7,1006.4,18.2,0.0,E,2.4,Aotizhongxin
21891.0,2015,8,30,2,28.0,34.0,2.0,22.0,700.0,58.0,21.9,1006.4,17.3,0.0,E,1.6,Aotizhongxin
21892.0,2015,8,30,3,22.0,24.0,2.0,22.0,900.0,58.0,21.2,1006.7,16.4,0.0,ENE,1.8,Aotizhongxin
21893.0,2015,8,30,4,25.0,25.0,2.0,26.0,900.0,59.0,21.2,1006.9,15.9,0.0,ESE,1.8,Aotizhongxin
21894.0,2015,8,30,5,23.0,23.0,2.0,22.0,900.0,65.0,20.6,1007.2,18.0,2.5,WNW,0.3,Aotizhongxin
21895.0,2015,8,30,6,24.0,24.0,2.0,23.0,1000.0,64.0,20.1,1007.3,17.7,0.0,ESE,0.3,Aotizhongxin
21896.0,2015,8,30,7,20.0,21.0,2.0,24.0,1100.0,70.0,20.7,1007.5,17.9,0.0,ENE,1.5,Aotizhongxin
21897.0,2015,8,30,8,24.0,27.0,2.0,32.0,1200.0,73.0,21.4,1008.0,18.4,0.0,ESE,1.5,Aotizhongxin
21898.0,2015,8,30,9,30.0,43.0,2.0,37.0,1300.0,66.0,21.8,1008.3,18.4,0.0,E,1.7,Aotizhongxin
21899.0,2015,8,30,10,35.0,43.0,2.0,28.0,1200.0,72.0,23.0,1008.2,18.1,0.0,ESE,2.1,Aotizhongxin
21900.0,2015,8,30,11,40.0,50.0,2.0,28.0,1300.0,79.0,23.2,1008.5,17.6,0.0,E,2.0,Aotizhongxin
21901.0,2015,8,30,12,31.0,37.0,2.0,29.0,1200.0,86.0,21.4,1008.4,18.2,0.4,ENE,1.9,Aotizhongxin
21902.0,2015,8,30,13,28.0,30.0,2.0,29.0,1100.0,88.0,22.8,1007.6,17.3,0.1,ENE,3.1,Aotizhongxin
21903.0,2015,8,30,14,23.0,27.0,2.0,24.0,900.0,110.0,23.0,1007.5,17.9,0.0,E,1.4,Aotizhongxin
21904.0,2015,8,30,15,20.0,20.0,2.0,19.0,800.0,120.0,24.1,1007.3,17.1,0.0,E,1.7,Aotizhongxin
21905.0,2015,8,30,16,29.0,57.0,2.0,25.0,1100.0,105.0,21.8,1007.3,17.2,0.0,S,1.5,Aotizhongxin
21906.0,2015,8,30,17,27.0,35.0,2.0,32.0,1200.0,82.0,21.1,1007.3,17.7,0.0,SW,0.9,Aotizhongxin
21907.0,2015,8,30,18,19.0,23.0,2.0,38.0,1400.0,77.0,21.3,1007.2,18.1,0.0,W,1.7,Aotizhongxin
21908.0,2015,8,30,19,27.0,27.0,2.0,49.0,1400.0,62.0,21.0,1007.1,18.6,0.0,ENE,1.3,Aotizhongxin
21909.0,2015,8,30,20,34.0,34.0,2.0,48.0,1400.0,60.0,20.7,1008.0,17.1,0.0,ESE,1.2,Aotizhongxin
21910.0,2015,8,30,21,39.0,39.0,2.0,55.0,1400.0,43.0,21.0,1008.0,17.2,0.0,WNW,1.2,Aotizhongxin
21911.0,2015,8,30,22,37.0,43.0,2.0,55.0,1400.0,36.0,20.7,1008.3,17.7,0.0,W,1.1,Aotizhongxin
21912.0,2015,8,30,23,44.0,44.0,2.0,46.0,1200.0,39.0,21.2,1008.6,18.2,0.0,NW,1.2,Aotizhongxin
21913.0,2015,8,31,0,47.0,47.0,2.0,37.0,1000.0,45.0,21.4,1008.8,18.6,0.0,NW,1.4,Aotizhongxin
21914.0,2015,8,31,1,44.0,44.0,2.0,36.0,1000.0,44.0,21.5,1008.5,18.7,0.0,W,1.3,Aotizhongxin
21915.0,2015,8,31,2,45.0,45.0,2.0,32.0,900.0,47.0,21.2,1008.6,18.8,0.0,W,0.9,Aotizhongxin
21916.0,2015,8,31,3,44.0,44.0,2.0,22.0,800.0,56.0,21.3,1008.4,18.9,0.1,W,1.1,Aotizhongxin
21917.0,2015,8,31,4,43.0,43.0,2.0,20.0,900.0,64.0,20.7,1008.2,19.4,0.4,NE,0.5,Aotizhongxin
21918.0,2015,8,31,5,40.0,40.0,2.0,27.0,900.0,46.0,20.7,1008.1,19.5,0.1,ENE,0.7,Aotizhongxin
21919.0,2015,8,31,6,31.0,31.0,2.0,18.0,800.0,73.0,20.3,1008.3,19.1,0.4,NE,1.2,Aotizhongxin
21920.0,2015,8,31,7,37.0,37.0,2.0,35.0,1200.0,42.0,20.2,1008.7,19.0,0.2,NNE,0.7,Aotizhongxin
21921.0,2015,8,31,8,29.0,29.0,2.0,37.0,1200.0,31.0,20.5,1008.9,18.8,0.3,NE,0.4,Aotizhongxin
21922.0,2015,8,31,9,22.0,22.0,2.0,29.0,1000.0,37.0,21.3,1009.1,19.0,0.0,NE,1.2,Aotizhongxin
21923.0,2015,8,31,10,22.0,22.0,2.0,22.0,700.0,48.0,22.1,1009.4,18.1,0.0,NE,1.9,Aotizhongxin
21924.0,2015,8,31,11,22.0,27.0,2.0,20.0,800.0,54.0,22.5,1009.5,18.3,0.0,NE,1.1,Aotizhongxin
21925.0,2015,8,31,12,27.0,27.0,2.0,20.0,700.0,64.0,20.2,1009.3,18.5,10.9,ESE,1.2,Aotizhongxin
21926.0,2015,8,31,13,24.0,24.0,2.0,25.0,700.0,74.0,20.0,1008.9,18.0,4.0,NNW,0.7,Aotizhongxin
21927.0,2015,8,31,14,18.0,21.0,2.0,28.0,700.0,94.0,20.9,1008.6,18.8,0.4,NW,0.7,Aotizhongxin
21928.0,2015,8,31,15,18.0,18.0,2.0,21.0,700.0,113.0,21.6,1008.1,18.8,0.0,W,0.7,Aotizhongxin
21929.0,2015,8,31,16,21.0,32.0,2.0,32.0,700.0,92.0,22.4,1008.2,18.2,0.0,E,1.0,Aotizhongxin
21930.0,2015,8,31,17,20.0,20.0,2.0,26.0,800.0,102.0,22.2,1008.1,17.6,0.0,ESE,0.8,Aotizhongxin
21931.0,2015,8,31,18,25.0,25.0,2.0,28.0,1100.0,105.0,22.0,1008.3,19.4,0.0,SSE,0.7,Aotizhongxin
21932.0,2015,8,31,19,25.0,31.0,2.0,29.0,1200.0,103.0,21.0,1008.4,18.9,0.1,E,1.6,Aotizhongxin
21933.0,2015,8,31,20,27.0,38.0,2.0,31.0,900.0,83.0,19.9,1008.8,18.0,0.3,NE,0.9,Aotizhongxin
21934.0,2015,8,31,21,33.0,50.0,2.0,48.0,1100.0,58.0,19.8,1009.5,18.3,0.1,E,3.5,Aotizhongxin
21935.0,2015,8,31,22,14.0,16.0,2.0,23.0,700.0,77.0,18.9,1009.3,17.9,2.5,NE,1.7,Aotizhongxin
21936.0,2015,8,31,23,8.0,9.0,2.0,17.0,600.0,82.0,18.7,1009.3,17.9,1.4,NE,1.5,Aotizhongxin
21937.0,2015,9,1,0,10.0,10.0,2.0,18.0,600.0,76.0,18.6,1009.2,17.6,0.9,N,1.9,Aotizhongxin
21938.0,2015,9,1,1,9.0,9.0,2.0,14.0,600.0,78.0,18.9,1009.0,17.9,0.6,N,1.7,Aotizhongxin
21939.0,2015,9,1,2,11.0,11.0,2.0,14.0,600.0,75.0,18.8,1008.8,17.8,0.7,N,1.9,Aotizhongxin
21940.0,2015,9,1,3,12.0,14.0,2.0,12.0,600.0,64.0,18.8,1008.8,17.6,0.3,NNE,1.3,Aotizhongxin
21941.0,2015,9,1,4,15.0,15.0,2.0,15.0,600.0,57.0,18.8,1008.4,17.8,0.5,NNE,2.0,Aotizhongxin
21942.0,2015,9,1,5,12.0,12.0,2.0,15.0,600.0,55.0,18.5,1008.1,17.7,0.3,N,2.2,Aotizhongxin
21943.0,2015,9,1,6,16.0,16.0,2.0,23.0,600.0,36.0,18.5,1008.2,17.5,0.2,N,2.3,Aotizhongxin
21944.0,2015,9,1,7,11.0,11.0,2.0,20.0,500.0,45.0,18.8,1008.4,17.5,0.6,NW,1.6,Aotizhongxin
21945.0,2015,9,1,8,8.0,8.0,2.0,28.0,600.0,42.0,19.3,1008.7,17.3,0.2,NW,1.6,Aotizhongxin
21946.0,2015,9,1,9,8.0,9.0,2.0,35.0,700.0,44.0,19.4,1009.1,18.4,0.8,ENE,1.1,Aotizhongxin
21947.0,2015,9,1,10,8.0,17.0,2.0,35.0,800.0,44.0,20.3,1009.2,17.5,0.0,NNE,2.5,Aotizhongxin
21948.0,2015,9,1,11,11.0,16.0,2.0,26.0,700.0,53.0,21.5,1009.3,17.9,0.0,NNE,2.6,Aotizhongxin
21949.0,2015,9,1,12,9.0,9.0,2.0,22.0,600.0,55.0,21.7,1009.5,17.5,0.0,NE,2.6,Aotizhongxin
21950.0,2015,9,1,13,10.0,10.0,2.0,14.0,500.0,63.0,22.0,1009.3,17.1,0.0,NE,3.1,Aotizhongxin
21951.0,2015,9,1,14,6.0,6.0,2.0,14.0,500.0,64.0,21.6,1009.0,18.0,0.1,NNE,1.4,Aotizhongxin
21952.0,2015,9,1,15,5.0,7.0,2.0,13.0,400.0,65.0,22.9,1008.5,17.6,0.0,NNE,1.4,Aotizhongxin
21953.0,2015,9,1,16,7.0,9.0,2.0,11.0,400.0,70.0,23.5,1008.4,17.7,0.0,N,1.5,Aotizhongxin
21954.0,2015,9,1,17,7.0,8.0,2.0,13.0,500.0,70.0,23.9,1008.3,17.2,0.0,NNE,1.7,Aotizhongxin
21955.0,2015,9,1,18,7.0,8.0,2.0,15.0,500.0,68.0,24.1,1008.3,17.1,0.0,N,1.7,Aotizhongxin
21956.0,2015,9,1,19,8.0,11.0,2.0,24.0,500.0,55.0,23.3,1008.2,17.3,0.0,NNE,1.1,Aotizhongxin
21957.0,2015,9,1,20,10.0,24.0,2.0,31.0,600.0,45.0,21.7,1008.8,18.7,0.0,NE,0.6,Aotizhongxin
21958.0,2015,9,1,21,16.0,29.0,2.0,42.0,800.0,29.0,20.4,1009.0,18.7,0.0,NE,0.1,Aotizhongxin
21959.0,2015,9,1,22,18.0,30.0,2.0,55.0,800.0,10.0,20.5,1009.0,18.8,0.0,NE,0.7,Aotizhongxin
21960.0,2015,9,1,23,15.0,20.0,2.0,46.0,600.0,15.0,21.9,1009.2,17.3,0.0,NW,1.3,Aotizhongxin
21961.0,2015,9,2,0,10.0,24.0,2.0,38.0,600.0,18.0,20.7,1009.2,18.1,0.0,W,0.9,Aotizhongxin
21962.0,2015,9,2,1,18.0,21.0,2.0,35.0,600.0,19.0,20.2,1009.4,17.2,0.0,ENE,1.4,Aotizhongxin
21963.0,2015,9,2,2,10.0,10.0,2.0,27.0,500.0,29.0,20.5,1009.4,16.9,0.0,NE,0.9,Aotizhongxin
21964.0,2015,9,2,3,11.0,11.0,2.0,17.0,400.0,43.0,19.9,1009.4,16.9,0.0,N,0.8,Aotizhongxin
21965.0,2015,9,2,4,11.0,13.0,2.0,19.0,400.0,58.8,21.1,1009.5,16.9,0.0,N,1.5,Aotizhongxin
21966.0,2015,9,2,5,10.0,10.0,2.0,18.0,400.0,38.0,20.5,1009.5,16.5,0.0,N,1.1,Aotizhongxin
21967.0,2015,9,2,6,8.0,13.0,2.0,22.0,500.0,31.0,20.3,1009.6,16.5,0.0,NNW,1.4,Aotizhongxin
21968.0,2015,9,2,7,12.0,12.0,2.0,31.0,500.0,22.0,21.1,1010.0,16.3,0.0,N,1.5,Aotizhongxin
21969.0,2015,9,2,8,10.0,21.0,2.0,24.0,500.0,29.0,22.3,1010.1,16.6,0.0,NNE,1.6,Aotizhongxin
21970.0,2015,9,2,9,14.0,24.0,2.0,24.0,600.0,35.0,24.0,1010.1,16.8,0.0,NNW,1.3,Aotizhongxin
21971.0,2015,9,2,10,11.0,13.0,2.0,15.0,500.0,59.0,26.4,1010.0,16.6,0.0,NNE,2.6,Aotizhongxin
21972.0,2015,9,2,11,7.0,8.0,2.0,8.0,400.0,78.0,27.5,1009.6,16.5,0.0,N,2.9,Aotizhongxin
21973.0,2015,9,2,12,5.0,7.0,2.0,6.0,300.0,84.0,28.6,1009.0,15.2,0.0,NNE,2.9,Aotizhongxin
21974.0,2015,9,2,13,6.0,6.0,2.0,7.0,300.0,87.0,29.4,1008.7,15.1,0.0,NE,2.6,Aotizhongxin
21975.0,2015,9,2,14,5.0,7.0,2.0,7.0,300.0,92.0,29.7,1008.2,15.0,0.0,ENE,2.8,Aotizhongxin
21976.0,2015,9,2,15,5.0,5.0,2.0,9.0,300.0,93.0,30.5,1007.8,14.6,0.0,NNE,2.6,Aotizhongxin
21977.0,2015,9,2,16,6.0,6.0,2.0,10.0,400.0,95.0,30.6,1007.3,14.7,0.0,NE,2.0,Aotizhongxin
21978.0,2015,9,2,17,5.0,5.0,2.0,12.0,300.0,93.0,30.2,1007.1,15.5,0.0,ESE,1.6,Aotizhongxin
21979.0,2015,9,2,18,6.0,8.0,2.0,15.0,300.0,94.0,29.9,1007.1,17.4,0.0,ESE,1.0,Aotizhongxin
21980.0,2015,9,2,19,6.0,17.0,2.0,36.0,400.0,72.0,26.2,1007.4,18.6,0.0,SE,0.9,Aotizhongxin
21981.0,2015,9,2,20,13.0,41.0,2.0,63.0,600.0,37.0,25.6,1008.0,17.8,0.0,SW,1.1,Aotizhongxin
21982.0,2015,9,2,21,14.0,40.0,2.0,54.0,600.0,44.0,25.3,1008.5,17.0,0.0,WSW,0.8,Aotizhongxin
21983.0,2015,9,2,22,16.0,30.0,2.0,50.0,600.0,44.0,22.8,1008.6,18.6,0.0,SW,0.2,Aotizhongxin
21984.0,2015,9,2,23,12.0,32.0,2.0,56.0,600.0,36.0,21.6,1008.8,18.4,0.0,SW,0.2,Aotizhongxin
21985.0,2015,9,3,0,16.0,41.0,2.0,68.0,700.0,20.0,20.7,1009.1,18.6,0.0,E,0.7,Aotizhongxin
21986.0,2015,9,3,1,14.0,47.0,2.0,48.0,700.0,16.0,20.3,1009.4,18.6,0.0,ENE,0.4,Aotizhongxin
21987.0,2015,9,3,2,21.0,48.0,2.0,42.0,700.0,13.0,21.1,1009.5,18.5,0.0,NNE,1.2,Aotizhongxin
21988.0,2015,9,3,3,14.0,14.0,2.0,23.0,400.0,29.0,20.0,1009.6,18.5,0.0,NE,0.4,Aotizhongxin
21989.0,2015,9,3,4,9.0,9.0,2.0,19.0,400.0,31.0,20.9,1009.7,17.3,0.0,NNE,1.2,Aotizhongxin
21990.0,2015,9,3,5,11.0,13.0,2.0,19.0,400.0,32.0,21.1,1010.0,16.9,0.0,NNE,1.0,Aotizhongxin
21991.0,2015,9,3,6,11.0,19.0,2.0,28.0,400.0,21.0,20.5,1010.5,17.1,0.0,NE,0.7,Aotizhongxin
21992.0,2015,9,3,7,10.0,16.0,2.0,30.0,500.0,22.0,22.7,1011.1,16.9,0.0,NE,1.6,Aotizhongxin
21993.0,2015,9,3,8,7.0,20.0,2.0,21.0,400.0,30.0,23.7,1011.4,17.2,0.0,NNE,1.9,Aotizhongxin
21994.0,2015,9,3,9,8.0,17.0,2.0,17.0,400.0,45.0,25.9,1011.4,17.5,0.0,NE,1.8,Aotizhongxin
21995.0,2015,9,3,10,9.0,19.0,2.0,16.0,400.0,62.0,27.1,1011.3,16.4,0.0,N,2.3,Aotizhongxin
21996.0,2015,9,3,11,12.0,12.0,2.0,9.0,400.0,86.0,28.5,1011.0,16.1,0.0,E,1.8,Aotizhongxin
21997.0,2015,9,3,12,9.0,11.0,2.0,8.0,400.0,97.0,29.7,1010.4,15.4,0.0,NE,1.3,Aotizhongxin
21998.0,2015,9,3,13,11.0,16.0,2.0,10.0,400.0,117.0,30.3,1009.8,15.6,0.0,E,2.1,Aotizhongxin
21999.0,2015,9,3,14,14.0,17.0,2.0,11.0,400.0,135.0,31.0,1009.1,16.6,0.0,SSE,1.7,Aotizhongxin
22000.0,2015,9,3,15,13.0,21.0,2.0,13.0,400.0,154.0,31.0,1008.7,15.4,0.0,SE,1.5,Aotizhongxin
22001.0,2015,9,3,16,14.0,29.0,2.0,13.0,400.0,163.0,31.1,1008.4,15.9,0.0,SE,1.8,Aotizhongxin
22002.0,2015,9,3,17,17.0,25.0,2.0,15.0,400.0,160.0,30.8,1008.1,16.0,0.0,SSW,2.1,Aotizhongxin
22003.0,2015,9,3,18,14.0,32.0,2.0,15.0,400.0,142.0,29.7,1008.3,16.8,0.0,SSW,1.7,Aotizhongxin
22004.0,2015,9,3,19,13.0,36.0,2.0,16.0,400.0,129.0,28.7,1008.6,16.9,0.0,S,1.7,Aotizhongxin
22005.0,2015,9,3,20,19.0,43.0,2.0,24.0,600.0,130.0,27.4,1009.0,17.8,0.0,SSE,1.4,Aotizhongxin
22006.0,2015,9,3,21,23.0,58.0,2.0,33.0,700.0,110.0,26.3,1009.6,19.4,0.0,SSE,1.8,Aotizhongxin
22007.0,2015,9,3,22,21.0,52.0,2.0,32.0,600.0,95.0,25.6,1009.6,19.0,0.0,SSE,2.0,Aotizhongxin
22008.0,2015,9,3,23,30.0,72.0,2.0,32.0,900.0,98.0,25.0,1009.8,19.1,0.0,S,2.1,Aotizhongxin
